date,price
2010-10-22,81.800003
2010-10-25,81.800003
2010-10-26,81.150002
2010-10-27,80.650002
2010-10-28,80.800003
2010-10-29,80.550003
2010-11-01,81.449997
2010-11-02,81.099998
2010-11-03,82.5
2010-11-04,85.5
2010-11-05,88.150002
2010-11-08,86.699997
2010-11-09,86.849998
2010-11-10,86
2010-11-11,86.75
2010-11-12,84.449997
2010-11-15,84.599998
2010-11-16,83.599998
2010-11-17,81.300003
2010-11-18,82.5
2010-11-19,82.849998
2010-11-22,82.25
2010-11-23,80.199997
2010-11-24,80.400002
2010-11-25,80.050003
2010-11-26,79.75
2010-11-29,80.050003
2010-11-30,78.949997
2010-12-01,79.5
2010-12-02,80.099998
2010-12-03,81.199997
2010-12-06,81.449997
2010-12-07,81.650002
2010-12-08,80.099998
2010-12-09,80.900002
2010-12-10,81.5
2010-12-13,81.699997
2010-12-14,81.949997
2010-12-15,80.800003
2010-12-16,79.900002
2010-12-17,80.150002
2010-12-20,79.25
2010-12-21,80.150002
2010-12-22,80.199997
2010-12-23,79.949997
2010-12-24,79.699997
2010-12-28,79.199997
2010-12-29,79.949997
2010-12-30,80.050003
2010-12-31,79.699997
2011-01-03,80.050003
2011-01-04,80.300003
2011-01-05,82.25
2011-01-06,82.699997
2011-01-07,82.699997
2011-01-10,81.699997
2011-01-11,82.400002
2011-01-12,85.449997
2011-01-13,86.599998
2011-01-14,86.75
2011-01-17,86.800003
2011-01-18,87.5
2011-01-19,87.949997
2011-01-20,86.150002
2011-01-21,86.400002
2011-01-24,86.650002
2011-01-25,86.849998
2011-01-26,86
2011-01-27,85.75
2011-01-28,86.099998
2011-01-31,84.75
2011-02-01,85.300003
2011-02-02,87.099998
2011-02-07,88
2011-02-08,88.800003
2011-02-09,89.699997
2011-02-10,89.300003
2011-02-11,88.699997
2011-02-14,88.949997
2011-02-15,87.5
2011-02-16,88.900002
2011-02-17,90.75
2011-02-18,91.75
2011-02-21,90.599998
2011-02-22,88.25
2011-02-23,89.050003
2011-02-24,87.150002
2011-02-25,89.050003
2011-02-28,90.400002
2011-03-01,85.75
2011-03-02,83.900002
2011-03-03,84.199997
2011-03-04,83.900002
2011-03-07,83.099998
2011-03-08,85
2011-03-09,84.849998
2011-03-10,83.699997
2011-03-11,82.849998
2011-03-14,83
2011-03-15,81.050003
2011-03-16,80.349998
2011-03-17,78.949997
2011-03-18,79.449997
2011-03-21,80.400002
2011-03-22,80.650002
2011-03-23,80.150002
2011-03-24,80.199997
2011-03-25,82.199997
2011-03-28,82
2011-03-29,81.5
2011-03-30,82
2011-03-31,81.75
2011-04-01,81.5
2011-04-04,82.199997
2011-04-06,83.050003
2011-04-07,84.300003
2011-04-08,85.150002
2011-04-11,84.400002
2011-04-12,83.699997
2011-04-13,83.849998
2011-04-14,83.650002
2011-04-15,83.099998
2011-04-18,82.300003
2011-04-19,81.599998
2011-04-20,82.900002
2011-04-21,84.050003
2011-04-26,84
2011-04-27,83.800003
2011-04-28,84.449997
2011-04-29,84.25
2011-05-03,84.349998
2011-05-04,83.949997
2011-05-05,83.849998
2011-05-06,82.699997
2011-05-09,84
2011-05-11,82.849998
2011-05-12,81.800003
2011-05-13,83.050003
2011-05-16,81.800003
2011-05-17,81.25
2011-05-18,80.800003
2011-05-19,80.550003
2011-05-20,81
2011-05-23,79.449997
2011-05-24,79.099998
2011-05-25,78.849998
2011-05-26,80.150002
2011-05-27,80.650002
2011-05-30,80.650002
2011-05-31,82
2011-06-01,81.5
2011-06-02,80
2011-06-03,80.400002
2011-06-07,80.25
2011-06-08,79.400002
2011-06-09,79.300003
2011-06-10,78.75
2011-06-13,78.800003
2011-06-14,79.050003
2011-06-15,78.050003
2011-06-16,76.849998
2011-06-17,76.050003
2011-06-20,75.5
2011-06-21,76.75
2011-06-22,76.599998
2011-06-23,75.900002
2011-06-24,76.349998
2011-06-27,75.199997
2011-06-28,75.5
2011-06-29,75.949997
2011-06-30,77.050003
2011-07-04,78.300003
2011-07-05,78.25
2011-07-06,77.75
2011-07-07,78
2011-07-08,78.25
2011-07-11,77.050003
2011-07-12,74.75
2011-07-13,75.449997
2011-07-14,75.5
2011-07-15,75.599998
2011-07-18,75.050003
2011-07-19,75.25
2011-07-20,75.199997
2011-07-21,75.900002
2011-07-22,78
2011-07-25,77.5
2011-07-26,77.949997
2011-07-27,77.400002
2011-07-28,77.349998
2011-07-29,76.550003
2011-08-01,76.949997
2011-08-02,77.900002
2011-08-03,77
2011-08-04,76.150002
2011-08-05,72.699997
2011-08-08,71.599998
2011-08-09,66.400002
2011-08-10,69
2011-08-11,67
2011-08-12,67.150002
2011-08-15,69.800003
2011-08-16,69.099998
2011-08-17,69.449997
2011-08-18,68.050003
2011-08-19,65.199997
2011-08-22,66.5
2011-08-23,67.150002
2011-08-24,65.349998
2011-08-25,65.900002
2011-08-26,65.050003
2011-08-29,65.5
2011-08-30,66.449997
2011-08-31,67.25
2011-09-01,67.400002
2011-09-02,67.150002
2011-09-05,65.300003
2011-09-06,64.099998
2011-09-07,64.599998
2011-09-08,64.650002
2011-09-09,64.949997
2011-09-12,61.400002
2011-09-14,61.75
2011-09-15,62.650002
2011-09-16,64.599998
2011-09-19,62.900002
2011-09-20,63.5
2011-09-21,62.900002
2011-09-22,60.650002
2011-09-23,59.5
2011-09-26,59.549999
2011-09-27,61.700001
2011-09-28,62.049999
2011-09-30,60.900002
2011-10-03,58.299999
2011-10-04,56.849998
2011-10-06,59.299999
2011-10-07,61.650002
2011-10-10,61.599998
2011-10-11,62.700001
2011-10-12,62.599998
2011-10-13,64.650002
2011-10-14,63.700001
2011-10-17,64.949997
2011-10-18,62.849998
2011-10-19,63.900002
2011-10-20,62.950001
2011-10-21,63.099998
2011-10-24,65.050003
2011-10-25,65.400002
2011-10-26,65.75
2011-10-27,67.300003
2011-10-28,70.099998
2011-10-31,69.900002
2011-11-01,67.199997
2011-11-02,67.449997
2011-11-03,65.5
2011-11-04,67.599998
2011-11-07,66.900002
2011-11-08,66.949997
2011-11-09,67.900002
2011-11-10,61.700001
2011-11-11,61.849998
2011-11-14,63.25
2011-11-15,62.049999
2011-11-16,60.75
2011-11-17,60.25
2011-11-18,59.25
2011-11-21,58.75
2011-11-22,58.299999
2011-11-23,57.049999
2011-11-24,57.049999
2011-11-25,56.099998
2011-11-28,57.099998
2011-11-29,58.650002
2011-11-30,57.450001
2011-12-01,60.650002
2011-12-02,61.599998
2011-12-05,62.349998
2011-12-06,61.700001
2011-12-07,62.900002
2011-12-08,62.349998
2011-12-09,60.049999
2011-12-12,60.099998
2011-12-13,59.75
2011-12-14,58.700001
2011-12-15,57.900002
2011-12-16,58.849998
2011-12-19,57.650002
2011-12-20,57.700001
2011-12-21,59.150002
2011-12-22,58.950001
2011-12-23,59.799999
2011-12-24,null
2011-12-28,59.200001
2011-12-29,58.400002
2011-12-30,59
2011-12-31,null
2012-01-03,60.549999
2012-01-04,60.450001
