date,price
12 Nov 2009,41.900002
13 Nov 2009,42.200001
16 Nov 2009,42.299999
17 Nov 2009,42
18 Nov 2009,41.75
19 Nov 2009,41.849998
20 Nov 2009,42.099998
23 Nov 2009,42.25
24 Nov 2009,41.849998
25 Nov 2009,41.900002
26 Nov 2009,41.950001
27 Nov 2009,41.650002
30 Nov 2009,42.099998
1 Dec 2009,42
2 Dec 2009,42.049999
3 Dec 2009,42.200001
4 Dec 2009,42.150002
7 Dec 2009,41.950001
8 Dec 2009,42.150002
9 Dec 2009,41.849998
10 Dec 2009,42.150002
11 Dec 2009,42.25
14 Dec 2009,42.349998
15 Dec 2009,42
16 Dec 2009,42.049999
17 Dec 2009,41.900002
18 Dec 2009,42.049999
21 Dec 2009,41.799999
22 Dec 2009,42
23 Dec 2009,42.200001
24 Dec 2009,42.150002
28 Dec 2009,42.200001
29 Dec 2009,42.150002
30 Dec 2009,42.25
31 Dec 2009,42.200001
4 Jan 2010,42.549999
5 Jan 2010,42.849998
6 Jan 2010,42.650002
7 Jan 2010,42.799999
8 Jan 2010,42.900002
11 Jan 2010,43.099998
12 Jan 2010,43.299999
13 Jan 2010,43.200001
14 Jan 2010,43.200001
15 Jan 2010,43.099998
18 Jan 2010,42.849998
19 Jan 2010,43
20 Jan 2010,42.549999
21 Jan 2010,42.849998
22 Jan 2010,42.900002
25 Jan 2010,43.450001
26 Jan 2010,43.599998
27 Jan 2010,43.200001
28 Jan 2010,43.099998
29 Jan 2010,43.450001
1 Feb 2010,43.299999
2 Feb 2010,43
3 Feb 2010,43.049999
4 Feb 2010,43.099998
5 Feb 2010,43.049999
8 Feb 2010,43.5
9 Feb 2010,43.650002
10 Feb 2010,43.650002
11 Feb 2010,43.650002
12 Feb 2010,43.450001
17 Feb 2010,43.349998
18 Feb 2010,43.299999
19 Feb 2010,43.299999
22 Feb 2010,43.299999
23 Feb 2010,43.549999
24 Feb 2010,43.650002
25 Feb 2010,43.349998
26 Feb 2010,43.450001
1 Mar 2010,44.400002
2 Mar 2010,45.049999
3 Mar 2010,43.950001
4 Mar 2010,44.599998
5 Mar 2010,44.849998
8 Mar 2010,45.150002
9 Mar 2010,45.450001
10 Mar 2010,45.75
11 Mar 2010,45.25
12 Mar 2010,45.349998
15 Mar 2010,45.450001
16 Mar 2010,45.549999
17 Mar 2010,45.75
18 Mar 2010,45.150002
19 Mar 2010,45.599998
22 Mar 2010,45.25
23 Mar 2010,45.450001
24 Mar 2010,45.5
25 Mar 2010,45.299999
26 Mar 2010,45.849998
29 Mar 2010,46.200001
30 Mar 2010,45.799999
31 Mar 2010,46.049999
1 Apr 2010,46.450001
7 Apr 2010,46.299999
8 Apr 2010,45.900002
9 Apr 2010,46.450001
12 Apr 2010,46.200001
13 Apr 2010,46.75
14 Apr 2010,46.25
15 Apr 2010,46.5
16 Apr 2010,46.549999
19 Apr 2010,46.900002
20 Apr 2010,46.700001
21 Apr 2010,47.200001
22 Apr 2010,48.200001
23 Apr 2010,48.599998
26 Apr 2010,49.549999
27 Apr 2010,47.150002
28 Apr 2010,46.400002
29 Apr 2010,46
30 Apr 2010,45.900002
3 May 2010,46.099998
4 May 2010,45.349998
5 May 2010,45.900002
6 May 2010,45.650002
7 May 2010,45.150002
10 May 2010,44.799999
11 May 2010,44.75
12 May 2010,44.950001
13 May 2010,45
14 May 2010,45.150002
17 May 2010,45.900002
18 May 2010,47.299999
19 May 2010,48
20 May 2010,48.599998
24 May 2010,47.799999
25 May 2010,47.700001
26 May 2010,47
27 May 2010,46.5
28 May 2010,46.049999
31 May 2010,46.349998
1 Jun 2010,46.5
2 Jun 2010,46.150002
3 Jun 2010,46.349998
4 Jun 2010,45.75
7 Jun 2010,45.799999
8 Jun 2010,46.099998
9 Jun 2010,46
10 Jun 2010,46.150002
11 Jun 2010,46.349998
14 Jun 2010,46.299999
15 Jun 2010,46.25
17 Jun 2010,46
18 Jun 2010,46.200001
21 Jun 2010,45.950001
22 Jun 2010,45.799999
23 Jun 2010,45.950001
24 Jun 2010,46.049999
25 Jun 2010,46.299999
28 Jun 2010,46.25
29 Jun 2010,46.200001
30 Jun 2010,46.450001
2 Jul 2010,46
5 Jul 2010,46
6 Jul 2010,46.349998
7 Jul 2010,46.049999
8 Jul 2010,46
9 Jul 2010,46.299999
12 Jul 2010,46.549999
13 Jul 2010,46.349998
14 Jul 2010,46.25
15 Jul 2010,46.150002
16 Jul 2010,46.450001
19 Jul 2010,46.150002
20 Jul 2010,46.450001
21 Jul 2010,46.200001
22 Jul 2010,46.900002
23 Jul 2010,46.650002
26 Jul 2010,46.700001
27 Jul 2010,46.299999
28 Jul 2010,46.599998
29 Jul 2010,46.75
30 Jul 2010,47.049999
2 Aug 2010,47.400002
3 Aug 2010,47.150002
4 Aug 2010,47.599998
5 Aug 2010,46.950001
6 Aug 2010,47
9 Aug 2010,47.299999
10 Aug 2010,47.25
11 Aug 2010,47.450001
12 Aug 2010,47.099998
13 Aug 2010,46.900002
16 Aug 2010,47.25
17 Aug 2010,47.599998
18 Aug 2010,47.450001
19 Aug 2010,47.349998
20 Aug 2010,47.450001
23 Aug 2010,47.900002
24 Aug 2010,47.400002
25 Aug 2010,47.400002
26 Aug 2010,46.650002
27 Aug 2010,47.049999
30 Aug 2010,47.25
31 Aug 2010,47.25
1 Sep 2010,47.450001
2 Sep 2010,47.25
3 Sep 2010,47.299999
6 Sep 2010,47.799999
7 Sep 2010,48.299999
8 Sep 2010,47.849998
9 Sep 2010,47.75
10 Sep 2010,47.950001
13 Sep 2010,48.450001
14 Sep 2010,47.700001
15 Sep 2010,48.049999
16 Sep 2010,47.799999
17 Sep 2010,48.150002
20 Sep 2010,47.900002
21 Sep 2010,47.400002
22 Sep 2010,47.950001
24 Sep 2010,47.650002
27 Sep 2010,47.5
28 Sep 2010,47.099998
29 Sep 2010,47.400002
30 Sep 2010,47.150002
4 Oct 2010,47.049999
5 Oct 2010,47.049999
6 Oct 2010,47.25
7 Oct 2010,47.599998
8 Oct 2010,48.150002
11 Oct 2010,48.200001
12 Oct 2010,48.299999
13 Oct 2010,49.200001
14 Oct 2010,49.099998
15 Oct 2010,48.700001
18 Oct 2010,48.599998
19 Oct 2010,49.299999
20 Oct 2010,49.900002
21 Oct 2010,49.799999
22 Oct 2010,49.450001
25 Oct 2010,50.650002
26 Oct 2010,49.900002
27 Oct 2010,48.799999
28 Oct 2010,48.900002
29 Oct 2010,49.25
1 Nov 2010,50.200001
2 Nov 2010,49.950001
3 Nov 2010,50.75
4 Nov 2010,50.75
5 Nov 2010,50.400002
8 Nov 2010,50.650002
9 Nov 2010,50.799999
10 Nov 2010,50.799999
11 Nov 2010,51.349998
12 Nov 2010,51.700001
15 Nov 2010,50.849998
16 Nov 2010,50.200001
17 Nov 2010,49.950001
18 Nov 2010,49.950001
19 Nov 2010,49.900002
22 Nov 2010,50.099998
23 Nov 2010,49.75
24 Nov 2010,49.950001
25 Nov 2010,49.950001
26 Nov 2010,49.650002
29 Nov 2010,50.049999
30 Nov 2010,49.950001
1 Dec 2010,50
2 Dec 2010,49.950001
3 Dec 2010,49.75
6 Dec 2010,50
7 Dec 2010,50
8 Dec 2010,49.700001
9 Dec 2010,49.950001
10 Dec 2010,50
13 Dec 2010,50.5
14 Dec 2010,50.150002
15 Dec 2010,49.75
16 Dec 2010,49.200001
17 Dec 2010,48.849998
20 Dec 2010,49.150002
21 Dec 2010,49.599998
22 Dec 2010,49.450001
23 Dec 2010,49.200001
24 Dec 2010,49.200001
28 Dec 2010,48.950001
29 Dec 2010,49.299999
30 Dec 2010,49.349998
31 Dec 2010,49
3 Jan 2011,49.5
4 Jan 2011,49.549999
5 Jan 2011,49.599998
6 Jan 2011,49.5
7 Jan 2011,49.5
10 Jan 2011,49.150002
11 Jan 2011,49.150002
12 Jan 2011,49.349998
13 Jan 2011,49.849998
14 Jan 2011,49.400002
17 Jan 2011,49.599998
18 Jan 2011,49.549999
19 Jan 2011,49.849998
20 Jan 2011,49.549999
21 Jan 2011,49.25
24 Jan 2011,49.650002
25 Jan 2011,49.549999
26 Jan 2011,49.349998
27 Jan 2011,49.549999
28 Jan 2011,49.549999
31 Jan 2011,49.400002
1 Feb 2011,49.799999
2 Feb 2011,50.200001
7 Feb 2011,49.950001
8 Feb 2011,50
9 Feb 2011,50
10 Feb 2011,50.299999
11 Feb 2011,50.099998
14 Feb 2011,50.200001
15 Feb 2011,49.950001
16 Feb 2011,50.099998
17 Feb 2011,50.049999
18 Feb 2011,50.849998
21 Feb 2011,52.200001
22 Feb 2011,51.5
23 Feb 2011,51.5
24 Feb 2011,51.099998
25 Feb 2011,51.299999
28 Feb 2011,50.849998
1 Mar 2011,51.200001
2 Mar 2011,51.099998
3 Mar 2011,51.25
