date,price
11/9/2018,70.980003
12/9/2018,70.940002
13/9/2018,70.610001
14/9/2018,71.120003
17/9/2018,69.75
18/9/2018,72.07
19/9/2018,70.610001
20/9/2018,72.860001
21/9/2018,72.449997
24/9/2018,73.07
25/9/2018,73.029999
26/9/2018,73.339996
27/9/2018,74.739998
28/9/2018,73.029999
1/10/2018,76.480003
2/10/2018,71.639999
3/10/2018,72.57
4/10/2018,66.82
5/10/2018,66.940002
8/10/2018,65.639999
9/10/2018,64.5
10/10/2018,56.450001
11/10/2018,56.080002
12/10/2018,60.41
15/10/2018,61.689999
16/10/2018,63.66
17/10/2018,60.84
18/10/2018,57.009998
19/10/2018,54.09
22/10/2018,53.91
23/10/2018,54.09
24/10/2018,50.740002
25/10/2018,52.049999
26/10/2018,51.82
29/10/2018,50.470001
30/10/2018,52.259998
31/10/2018,55.599998
1/11/2018,57.830002
2/11/2018,57.889999
5/11/2018,56.849998
6/11/2018,55.619999
7/11/2018,58.860001
8/11/2018,45.740002
9/11/2018,43.939999
12/11/2018,41.459999
13/11/2018,42.439999
14/11/2018,43.200001
15/11/2018,44.529999
16/11/2018,44.580002
19/11/2018,42.669998
20/11/2018,40.860001
21/11/2018,40.25
23/11/2018,39.919998
26/11/2018,41.209999
27/11/2018,39.220001
28/11/2018,38.93
29/11/2018,40.84
30/11/2018,40.75
3/12/2018,42.169998
4/12/2018,39.779999
6/12/2018,40.82
7/12/2018,37.919998
10/12/2018,37.200001
11/12/2018,35.810001
12/12/2018,35.169998
13/12/2018,33.740002
14/12/2018,33.419998
17/12/2018,32.119999
18/12/2018,31.34
19/12/2018,30.610001
20/12/2018,29.66
21/12/2018,27.280001
24/12/2018,27.17
26/12/2018,30.35
27/12/2018,30.459999
28/12/2018,30.16
31/12/2018,30.639999
2/1/2019,32.52
3/1/2019,30.1
4/1/2019,33.73
7/1/2019,42.18
8/1/2019,40.880001
9/1/2019,42.099998
10/1/2019,40.16
11/1/2019,39.57
14/1/2019,39.459999
15/1/2019,40.490002
16/1/2019,39.889999
17/1/2019,41.630001
18/1/2019,40.98
22/1/2019,39.91
23/1/2019,40.439999
24/1/2019,43.290001
25/1/2019,43.689999
28/1/2019,43.860001
29/1/2019,42.849998
30/1/2019,44.130001
31/1/2019,44.950001
1/2/2019,45.209999
4/2/2019,47.43
5/2/2019,48.16
6/2/2019,48.380001
7/2/2019,46.860001
8/2/2019,48.27
11/2/2019,46.98
12/2/2019,49.209999
13/2/2019,50.200001
14/2/2019,50.970001
15/2/2019,52.080002
19/2/2019,53.220001
20/2/2019,53.639999
21/2/2019,51.48
22/2/2019,64.470001
25/2/2019,64.870003
26/2/2019,65.080002
27/2/2019,67.370003
28/2/2019,66.290001
1/3/2019,69.080002
4/3/2019,67.050003
5/3/2019,68.830002
6/3/2019,71.889999
7/3/2019,70.809998
8/3/2019,71.269997
11/3/2019,74.120003
12/3/2019,70.720001
13/3/2019,60.740002
14/3/2019,61.82
15/3/2019,62.790001
18/3/2019,63.610001
19/3/2019,64.919998
20/3/2019,64.970001
21/3/2019,66.940002
22/3/2019,63.91
25/3/2019,66.900002
26/3/2019,64.309998
27/3/2019,62.18
28/3/2019,64.389999
29/3/2019,64.510002
1/4/2019,69.110001
2/4/2019,70.639999
3/4/2019,68.599998
4/4/2019,64.489998
5/4/2019,63.400002
8/4/2019,60.73
9/4/2019,59.32
10/4/2019,58.57
11/4/2019,58.650002
12/4/2019,56.5
15/4/2019,56.59
16/4/2019,58.040001
17/4/2019,56.599998
18/4/2019,56.68
22/4/2019,58.200001
23/4/2019,61.529999
24/4/2019,60.970001
25/4/2019,61.040001
26/4/2019,63.439999
29/4/2019,63.279999
30/4/2019,63.59
1/5/2019,63.689999
2/5/2019,64.389999
3/5/2019,65.019997
6/5/2019,65.75
7/5/2019,64.410004
8/5/2019,64.919998
9/5/2019,83.169998
10/5/2019,82.75
13/5/2019,79.449997
14/5/2019,82.830002
15/5/2019,83.339996
16/5/2019,83.279999
17/5/2019,84.029999
20/5/2019,83.330002
21/5/2019,87.629997
22/5/2019,88.019997
23/5/2019,89.980003
24/5/2019,95.779999
28/5/2019,88.830002
29/5/2019,91.800003
30/5/2019,93.339996
31/5/2019,90.400002
3/6/2019,89.709999
4/6/2019,93.599998
5/6/2019,101.709999
6/6/2019,100.25
7/6/2019,101.870003
10/6/2019,100.610001
11/6/2019,100.199997
12/6/2019,104.860001
13/6/2019,104.970001
14/6/2019,102.019997
17/6/2019,103.839996
18/6/2019,104.389999
19/6/2019,106.489998
20/6/2019,104.900002
21/6/2019,102.57
24/6/2019,100.029999
25/6/2019,93.25
26/6/2019,92.300003
27/6/2019,93.230003
28/6/2019,90.580002
1/7/2019,91.370003
2/7/2019,93.050003
3/7/2019,93.510002
5/7/2019,98.110001
8/7/2019,103.25
9/7/2019,103.400002
10/7/2019,103.5
11/7/2019,104.540001
12/7/2019,102.470001
15/7/2019,104.339996
16/7/2019,111.940002
17/7/2019,109.339996
18/7/2019,109.019997
19/7/2019,106.849998
22/7/2019,108.599998
23/7/2019,104.919998
24/7/2019,107.660004
25/7/2019,106.889999
26/7/2019,110.449997
29/7/2019,105.129997
30/7/2019,105.760002
31/7/2019,103.330002
1/8/2019,100.845001
2/8/2019,100.529999
5/8/2019,102.57
6/8/2019,98.480003
7/8/2019,100.970001
8/8/2019,122.029999
9/8/2019,125.32
12/8/2019,134.300003
13/8/2019,135.330002
14/8/2019,130.570007
15/8/2019,129.399994
16/8/2019,131.039993
19/8/2019,134.960007
20/8/2019,134.259995
21/8/2019,138.580002
22/8/2019,139.139999
23/8/2019,137.740005
26/8/2019,143.009995
27/8/2019,147.020004
28/8/2019,145.889999
29/8/2019,149.880005
30/8/2019,151.360001
3/9/2019,156.880005
4/9/2019,168.910004
5/9/2019,166.929993
6/9/2019,169.860001
9/9/2019,161.029999
10/9/2019,144.139999
11/9/2019,149.759995
12/9/2019,147.779999
13/9/2019,147.550003
16/9/2019,149.539993
17/9/2019,150.520004
18/9/2019,129.880005
19/9/2019,133.759995
20/9/2019,108.050003
23/9/2019,107.370003
24/9/2019,103.529999
25/9/2019,106.300003
26/9/2019,103.339996
27/9/2019,99.739998
30/9/2019,101.760002
1/10/2019,102.400002
2/10/2019,102.620003
3/10/2019,108.839996
4/10/2019,106.769997
7/10/2019,106.25
8/10/2019,108
9/10/2019,117.790001
10/10/2019,116.129997
11/10/2019,121.599998
14/10/2019,119.120003
15/10/2019,132.820007
16/10/2019,132.5
17/10/2019,139.070007
18/10/2019,129.940002
21/10/2019,133.029999
22/10/2019,129.059998
23/10/2019,128.759995
24/10/2019,131.220001
25/10/2019,133.740005
28/10/2019,146.880005
29/10/2019,147.240005
30/10/2019,149.429993
31/10/2019,147.199997
1/11/2019,146.5
4/11/2019,140.509995
5/11/2019,139.570007
6/11/2019,141.050003
7/11/2019,118.459999
8/11/2019,121.940002
11/11/2019,127.099998
